system,technique,question,valida,rouge1,rouge2,rougeL,recall@1,recall@3,recall@5
base,chain-of-thought,"What does ISO 10140-5 cover, and what qualification does it require of a test facility?",True,0.3546099290780142,0.07194244604316546,0.24113475177304966,,,
base,chain-of-thought,"What does ISO 16032 measure, and which quantity is reported?",True,0.0790960451977401,0.01142857142857143,0.04519774011299435,,,
base,chain-of-thought,How does CNOSSOS-EU represent a vehicle and a traffic flow geometrically?,True,0.2706766917293233,0.04580152671755725,0.1954887218045113,,,
base,chain-of-thought,What is the scope of ISO 16283-1 in terms of room volume and frequency range?,True,0.23728813559322037,0.10344827586206896,0.20338983050847456,,,
base,chain-of-thought,"How does ISO 9612 define the daily noise exposure level LEX,8h?",True,0.28985507246376807,0.058823529411764705,0.20289855072463767,,,
base,chain-of-thought,Which reference time intervals does BS 4142 prescribe for day and night?,True,0.19999999999999998,0.06779661016949153,0.16666666666666666,,,
base,chain-of-thought,"What does ISO 354 specify, and what requirements apply to the reverberation room?",True,0.2528735632183908,0.11627906976744186,0.1839080459770115,,,
base,chain-of-thought,Which noise descriptor does ISO 1996-3 prefer for specifying noise limits?,True,0.21052631578947367,0.1075268817204301,0.16842105263157894,,,
base,chain-of-thought,"What does ISO 16283-2 specify, and which impact sources does it describe?",True,0.2909090909090909,0.09259259259259259,0.2,,,
base,chain-of-thought,What does ISO 3382-1 say about deriving decay curves from non-continuous excitation?,True,0.35185185185185186,0.03773584905660377,0.2222222222222222,,,
base,chain-of-thought,What are the stated limitations of the ISO 4869-3 method?,True,0.10101010101010101,0.041237113402061855,0.10101010101010101,,,
base,chain-of-thought,What instrumentation does ISO 1996-2 require for environmental noise measurements?,True,0.36363636363636365,0.1276595744680851,0.2377622377622378,,,
base,chain-of-thought,What general form does the CNOSSOS-EU sound power equation take as a function of vehicle speed?,True,0.1076923076923077,0.046875,0.1076923076923077,,,
base,chain-of-thought,"What is the frequency range of interest in ISO 3746, and what does the reference box enclose?",True,0.2900763358778626,0.10852713178294575,0.24427480916030533,,,
finetuning,zero-shot,What does ISO 3382-1 specify?,True,0.628099173553719,0.42016806722689076,0.5785123966942148,,,
finetuning,zero-shot,"What background noise criterion does ISO 3744 impose, and how is the correction K1 applied?",True,0.4339622641509434,0.14285714285714285,0.27358490566037735,,,
finetuning,zero-shot,What does ISO 1996-2 require regarding acoustic calibration?,True,0.3697478991596639,0.22222222222222224,0.3529411764705882,,,
finetuning,zero-shot,"Which physical effects are included in the ISO 9613-2 algorithms, and in which frequency bands do they work?",True,0.3150684931506849,0.01388888888888889,0.1506849315068493,,,
finetuning,zero-shot,"What does ISO 3745 specify, and how does its accuracy compare with ISO 3744 and ISO 3746?",True,0.4674329501915709,0.18532818532818532,0.3065134099616858,,,
finetuning,zero-shot,"According to ISO 9613-1, how should users obtain attenuation coefficients for conditions that are not listed in Table 1?",True,0.3106796116504854,0.05940594059405941,0.17475728155339806,,,
finetuning,zero-shot,"What does ISO 10140-5 cover, and what qualification does it require of a test facility?",True,0.45882352941176474,0.21428571428571427,0.31764705882352945,,,
finetuning,zero-shot,"What does ISO 16032 measure, and which quantity is reported?",True,0.28310502283105027,0.10138248847926268,0.1643835616438356,,,
finetuning,zero-shot,How does CNOSSOS-EU represent a vehicle and a traffic flow geometrically?,True,0.4257425742574258,0.18000000000000002,0.2376237623762376,,,
finetuning,zero-shot,What is the scope of ISO 16283-1 in terms of room volume and frequency range?,True,0.4293785310734463,0.18285714285714286,0.327683615819209,,,
finetuning,zero-shot,"How does ISO 9612 define the daily noise exposure level LEX,8h?",True,0.35680751173708913,0.13270142180094788,0.24413145539906103,,,
finetuning,zero-shot,Which reference time intervals does BS 4142 prescribe for day and night?,True,0.3757575757575758,0.09815950920245398,0.23030303030303031,,,
finetuning,zero-shot,"What does ISO 354 specify, and what requirements apply to the reverberation room?",True,0.4768683274021352,0.14336917562724016,0.2633451957295374,,,
finetuning,zero-shot,Which noise descriptor does ISO 1996-3 prefer for specifying noise limits?,True,0.3625,0.08860759493670885,0.25,,,
finetuning,zero-shot,"What does ISO 16283-2 specify, and which impact sources does it describe?",True,0.37777777777777777,0.10112359550561797,0.22222222222222224,,,
finetuning,zero-shot,What does ISO 3382-1 say about deriving decay curves from non-continuous excitation?,True,0.4363636363636364,0.09815950920245398,0.2181818181818182,,,
finetuning,zero-shot,What are the stated limitations of the ISO 4869-3 method?,True,0.27672955974842767,0.025477707006369428,0.13836477987421383,,,
finetuning,zero-shot,What instrumentation does ISO 1996-2 require for environmental noise measurements?,True,0.47567567567567565,0.1748633879781421,0.3027027027027028,,,
finetuning,zero-shot,What general form does the CNOSSOS-EU sound power equation take as a function of vehicle speed?,True,0.32631578947368417,0.1276595744680851,0.2210526315789474,,,
finetuning,zero-shot,"What is the frequency range of interest in ISO 3746, and what does the reference box enclose?",True,0.5637583892617449,0.2585034013605442,0.44295302013422816,,,
finetuning,few-shot,What does ISO 3382-1 specify?,True,0.3873873873873874,0.19999999999999998,0.32432432432432434,,,
finetuning,few-shot,"What background noise criterion does ISO 3744 impose, and how is the correction K1 applied?",True,0.4532374100719425,0.15942028985507245,0.2661870503597122,,,
finetuning,few-shot,What does ISO 1996-2 require regarding acoustic calibration?,True,0.4,0.23728813559322035,0.3666666666666667,,,
finetuning,few-shot,"Which physical effects are included in the ISO 9613-2 algorithms, and in which frequency bands do they work?",True,0.27322404371584696,0.03314917127071823,0.16393442622950818,,,
finetuning,few-shot,"What does ISO 3745 specify, and how does its accuracy compare with ISO 3744 and ISO 3746?",True,0.43448275862068964,0.19444444444444445,0.2827586206896552,,,
finetuning,few-shot,"According to ISO 9613-1, how should users obtain attenuation coefficients for conditions that are not listed in Table 1?",True,0.4067796610169491,0.1206896551724138,0.25423728813559326,,,
finetuning,few-shot,"What does ISO 10140-5 cover, and what qualification does it require of a test facility?",True,0.3918367346938776,0.14814814814814814,0.2530612244897959,,,
finetuning,few-shot,"What does ISO 16032 measure, and which quantity is reported?",True,0.3940520446096654,0.1198501872659176,0.26022304832713755,,,
finetuning,few-shot,How does CNOSSOS-EU represent a vehicle and a traffic flow geometrically?,True,0.3461538461538462,0.0930232558139535,0.2153846153846154,,,
finetuning,few-shot,What is the scope of ISO 16283-1 in terms of room volume and frequency range?,True,0.42063492063492064,0.168,0.27777777777777773,,,
finetuning,few-shot,"How does ISO 9612 define the daily noise exposure level LEX,8h?",True,0.48618784530386744,0.18994413407821226,0.23204419889502761,,,
finetuning,few-shot,Which reference time intervals does BS 4142 prescribe for day and night?,True,0.38823529411764707,0.10714285714285714,0.21176470588235294,,,
finetuning,few-shot,"What does ISO 354 specify, and what requirements apply to the reverberation room?",True,0.43478260869565216,0.15328467153284672,0.2608695652173913,,,
finetuning,few-shot,Which noise descriptor does ISO 1996-3 prefer for specifying noise limits?,True,0.4311926605504587,0.1111111111111111,0.25688073394495414,,,
finetuning,few-shot,"What does ISO 16283-2 specify, and which impact sources does it describe?",True,0.2693602693602694,0.05423728813559322,0.18181818181818185,,,
finetuning,few-shot,What does ISO 3382-1 say about deriving decay curves from non-continuous excitation?,True,0.45859872611464964,0.14193548387096777,0.267515923566879,,,
finetuning,few-shot,What are the stated limitations of the ISO 4869-3 method?,True,0.27027027027027023,0.02727272727272727,0.16216216216216217,,,
finetuning,few-shot,What instrumentation does ISO 1996-2 require for environmental noise measurements?,True,0.45161290322580644,0.1830065359477124,0.30967741935483867,,,
finetuning,few-shot,What general form does the CNOSSOS-EU sound power equation take as a function of vehicle speed?,True,0.26760563380281693,0.1285714285714286,0.18309859154929575,,,
finetuning,few-shot,"What is the frequency range of interest in ISO 3746, and what does the reference box enclose?",True,0.4536082474226804,0.18749999999999997,0.3402061855670103,,,
finetuning,chain-of-thought,What does ISO 3382-1 specify?,True,0.6382978723404256,0.41304347826086957,0.5744680851063829,,,
finetuning,chain-of-thought,"What background noise criterion does ISO 3744 impose, and how is the correction K1 applied?",True,0.42060085836909866,0.10389610389610389,0.22317596566523604,,,
finetuning,chain-of-thought,What does ISO 1996-2 require regarding acoustic calibration?,True,0.4,0.11382113821138211,0.208,,,
finetuning,chain-of-thought,"Which physical effects are included in the ISO 9613-2 algorithms, and in which frequency bands do they work?",True,0.3184713375796178,0.03870967741935484,0.15286624203821655,,,
finetuning,chain-of-thought,"What does ISO 3745 specify, and how does its accuracy compare with ISO 3744 and ISO 3746?",True,0.3609022556390977,0.1984732824427481,0.19548872180451127,,,
finetuning,chain-of-thought,"According to ISO 9613-1, how should users obtain attenuation coefficients for conditions that are not listed in Table 1?",True,0.2711864406779661,0.0689655172413793,0.1694915254237288,,,
finetuning,chain-of-thought,"What does ISO 10140-5 cover, and what qualification does it require of a test facility?",True,0.2,0.0847457627118644,0.16666666666666669,,,
finetuning,chain-of-thought,"What does ISO 16032 measure, and which quantity is reported?",True,0.2857142857142857,0.048,0.19047619047619047,,,
finetuning,chain-of-thought,How does CNOSSOS-EU represent a vehicle and a traffic flow geometrically?,True,0.24705882352941175,0.04761904761904762,0.16470588235294117,,,
finetuning,chain-of-thought,What is the scope of ISO 16283-1 in terms of room volume and frequency range?,True,0.40201005025125636,0.18274111675126903,0.2914572864321608,,,
finetuning,chain-of-thought,"How does ISO 9612 define the daily noise exposure level LEX,8h?",True,0.4157303370786517,0.12500000000000003,0.2584269662921348,,,
finetuning,chain-of-thought,Which reference time intervals does BS 4142 prescribe for day and night?,True,0.3283582089552239,0.06060606060606061,0.20895522388059704,,,
finetuning,chain-of-thought,"What does ISO 354 specify, and what requirements apply to the reverberation room?",True,0.45018450184501846,0.1338289962825279,0.2656826568265683,,,
finetuning,chain-of-thought,Which noise descriptor does ISO 1996-3 prefer for specifying noise limits?,True,0.37762237762237766,0.11347517730496454,0.2937062937062937,,,
finetuning,chain-of-thought,"What does ISO 16283-2 specify, and which impact sources does it describe?",True,0.43037974683544306,0.08974358974358974,0.24050632911392406,,,
finetuning,chain-of-thought,What does ISO 3382-1 say about deriving decay curves from non-continuous excitation?,True,0.3827160493827161,0.075,0.24691358024691362,,,
finetuning,chain-of-thought,What are the stated limitations of the ISO 4869-3 method?,True,0.30392156862745096,0.039603960396039604,0.16666666666666663,,,
finetuning,chain-of-thought,What instrumentation does ISO 1996-2 require for environmental noise measurements?,True,0.46632124352331605,0.13612565445026178,0.2797927461139897,,,
finetuning,chain-of-thought,What general form does the CNOSSOS-EU sound power equation take as a function of vehicle speed?,True,0.07692307692307693,0.0,0.046153846153846156,,,
finetuning,chain-of-thought,"What is the frequency range of interest in ISO 3746, and what does the reference box enclose?",True,0.46783625730994155,0.20118343195266275,0.3391812865497076,,,
rag,rag-anclado,What does ISO 3382-1 specify?,True,0.36942675159235666,0.14193548387096772,0.2929936305732484,1.0,1.0,1.0
rag,zero-shot,What does ISO 3382-1 specify?,True,0.2686567164179105,0.07035175879396985,0.1990049751243781,1.0,1.0,1.0
rag,few-shot,What does ISO 3382-1 specify?,True,0.19999999999999998,0.05128205128205127,0.09999999999999999,1.0,1.0,1.0
rag,chain-of-thought,What does ISO 3382-1 specify?,True,0.262135922330097,0.06862745098039215,0.2038834951456311,1.0,1.0,1.0
rag,rag-anclado,"What background noise criterion does ISO 3744 impose, and how is the correction K1 applied?",True,0.11180124223602485,0.025157232704402514,0.08695652173913043,1.0,1.0,1.0
rag,zero-shot,"What background noise criterion does ISO 3744 impose, and how is the correction K1 applied?",True,0.1317365269461078,0.024242424242424242,0.08383233532934131,1.0,1.0,1.0
rag,few-shot,"What background noise criterion does ISO 3744 impose, and how is the correction K1 applied?",True,0.1317365269461078,0.024242424242424242,0.08383233532934131,1.0,1.0,1.0
rag,chain-of-thought,"What background noise criterion does ISO 3744 impose, and how is the correction K1 applied?",True,0.1358024691358025,0.024999999999999998,0.07407407407407408,1.0,1.0,1.0
rag,rag-anclado,What does ISO 1996-2 require regarding acoustic calibration?,True,0.3,0.02040816326530612,0.13999999999999999,1.0,1.0,1.0
rag,zero-shot,What does ISO 1996-2 require regarding acoustic calibration?,True,0.3,0.05128205128205128,0.17500000000000002,1.0,1.0,1.0
rag,few-shot,What does ISO 1996-2 require regarding acoustic calibration?,True,0.1643835616438356,0.028169014084507043,0.136986301369863,1.0,1.0,1.0
rag,chain-of-thought,What does ISO 1996-2 require regarding acoustic calibration?,True,0.2318840579710145,0.0,0.11594202898550725,1.0,1.0,1.0
rag,rag-anclado,"Which physical effects are included in the ISO 9613-2 algorithms, and in which frequency bands do they work?",True,0.53125,0.3174603174603175,0.25,1.0,1.0,1.0
rag,zero-shot,"Which physical effects are included in the ISO 9613-2 algorithms, and in which frequency bands do they work?",True,0.546875,0.3174603174603175,0.25,1.0,1.0,1.0
rag,few-shot,"Which physical effects are included in the ISO 9613-2 algorithms, and in which frequency bands do they work?",True,0.14953271028037382,0.0,0.056074766355140186,1.0,1.0,1.0
rag,chain-of-thought,"Which physical effects are included in the ISO 9613-2 algorithms, and in which frequency bands do they work?",True,0.3564356435643564,0.22222222222222224,0.23762376237623759,1.0,1.0,1.0
rag,rag-anclado,"What does ISO 3745 specify, and how does its accuracy compare with ISO 3744 and ISO 3746?",True,0.4577114427860696,0.20100502512562818,0.23880597014925375,1.0,1.0,1.0
rag,zero-shot,"What does ISO 3745 specify, and how does its accuracy compare with ISO 3744 and ISO 3746?",True,0.4075829383886255,0.19138755980861244,0.2654028436018957,1.0,1.0,1.0
rag,few-shot,"What does ISO 3745 specify, and how does its accuracy compare with ISO 3744 and ISO 3746?",True,0.45833333333333337,0.2,0.3020833333333333,1.0,1.0,1.0
rag,chain-of-thought,"What does ISO 3745 specify, and how does its accuracy compare with ISO 3744 and ISO 3746?",True,0.4353741496598639,0.2206896551724138,0.29931972789115646,1.0,1.0,1.0
rag,rag-anclado,"According to ISO 9613-1, how should users obtain attenuation coefficients for conditions that are not listed in Table 1?",True,0.22916666666666666,0.06382978723404255,0.16666666666666663,1.0,1.0,1.0
rag,zero-shot,"According to ISO 9613-1, how should users obtain attenuation coefficients for conditions that are not listed in Table 1?",True,0.32989690721649484,0.08421052631578949,0.18556701030927836,1.0,1.0,1.0
rag,few-shot,"According to ISO 9613-1, how should users obtain attenuation coefficients for conditions that are not listed in Table 1?",True,0.09638554216867469,0.0,0.09638554216867469,1.0,1.0,1.0
rag,chain-of-thought,"According to ISO 9613-1, how should users obtain attenuation coefficients for conditions that are not listed in Table 1?",True,0.2871287128712871,0.02,0.13861386138613863,1.0,1.0,1.0
rag,rag-anclado,"What does ISO 10140-5 cover, and what qualification does it require of a test facility?",True,0.6091954022988505,0.313953488372093,0.471264367816092,1.0,1.0,1.0
rag,zero-shot,"What does ISO 10140-5 cover, and what qualification does it require of a test facility?",True,0.6127167630057803,0.2456140350877193,0.48554913294797686,1.0,1.0,1.0
rag,few-shot,"What does ISO 10140-5 cover, and what qualification does it require of a test facility?",True,0.07751937984496124,0.015748031496062992,0.06201550387596899,1.0,1.0,1.0
rag,chain-of-thought,"What does ISO 10140-5 cover, and what qualification does it require of a test facility?",True,0.0522875816993464,0.026490066225165563,0.0522875816993464,1.0,1.0,1.0
rag,rag-anclado,"What does ISO 16032 measure, and which quantity is reported?",True,0.28136882129277563,0.12260536398467432,0.19011406844106465,1.0,1.0,1.0
rag,zero-shot,"What does ISO 16032 measure, and which quantity is reported?",True,0.20725388601036268,0.07329842931937172,0.15544041450777202,1.0,1.0,1.0
rag,few-shot,"What does ISO 16032 measure, and which quantity is reported?",True,0.12121212121212122,0.020408163265306124,0.0707070707070707,1.0,1.0,1.0
rag,chain-of-thought,"What does ISO 16032 measure, and which quantity is reported?",True,0.19148936170212766,0.12903225806451613,0.18085106382978725,1.0,1.0,1.0
rag,rag-anclado,How does CNOSSOS-EU represent a vehicle and a traffic flow geometrically?,True,0.3775510204081633,0.10309278350515465,0.2448979591836735,1.0,1.0,1.0
rag,zero-shot,How does CNOSSOS-EU represent a vehicle and a traffic flow geometrically?,True,0.39751552795031053,0.16352201257861634,0.28571428571428575,1.0,1.0,1.0
rag,few-shot,How does CNOSSOS-EU represent a vehicle and a traffic flow geometrically?,True,0.13636363636363635,0.015384615384615384,0.12121212121212122,1.0,1.0,1.0
rag,chain-of-thought,How does CNOSSOS-EU represent a vehicle and a traffic flow geometrically?,True,0.3262411347517731,0.04316546762589928,0.18439716312056736,1.0,1.0,1.0
rag,rag-anclado,What is the scope of ISO 16283-1 in terms of room volume and frequency range?,True,0.4195804195804196,0.14184397163120568,0.27972027972027974,1.0,1.0,1.0
rag,zero-shot,What is the scope of ISO 16283-1 in terms of room volume and frequency range?,True,0.4524886877828054,0.2191780821917808,0.2895927601809955,1.0,1.0,1.0
rag,few-shot,What is the scope of ISO 16283-1 in terms of room volume and frequency range?,True,0.20967741935483872,0.06557377049180328,0.14516129032258066,1.0,1.0,1.0
rag,chain-of-thought,What is the scope of ISO 16283-1 in terms of room volume and frequency range?,True,0.4087591240875912,0.14814814814814814,0.3065693430656934,1.0,1.0,1.0
rag,rag-anclado,"How does ISO 9612 define the daily noise exposure level LEX,8h?",True,0.4870848708487085,0.2379182156133829,0.3763837638376384,1.0,1.0,1.0
rag,zero-shot,"How does ISO 9612 define the daily noise exposure level LEX,8h?",True,0.5698324022346368,0.3276836158192091,0.44692737430167595,1.0,1.0,1.0
rag,few-shot,"How does ISO 9612 define the daily noise exposure level LEX,8h?",True,0.10606060606060605,0.015384615384615385,0.09090909090909091,1.0,1.0,1.0
rag,chain-of-thought,"How does ISO 9612 define the daily noise exposure level LEX,8h?",True,0.5757575757575758,0.3163265306122449,0.4343434343434343,1.0,1.0,1.0
rag,rag-anclado,Which reference time intervals does BS 4142 prescribe for day and night?,True,0.2677165354330709,0.096,0.18897637795275588,1.0,1.0,1.0
rag,zero-shot,Which reference time intervals does BS 4142 prescribe for day and night?,True,0.27350427350427353,0.10434782608695653,0.18803418803418806,1.0,1.0,1.0
rag,few-shot,Which reference time intervals does BS 4142 prescribe for day and night?,True,0.1680672268907563,0.06837606837606837,0.13445378151260504,1.0,1.0,1.0
rag,chain-of-thought,Which reference time intervals does BS 4142 prescribe for day and night?,True,0.25688073394495414,0.11214953271028037,0.18348623853211007,1.0,1.0,1.0
rag,rag-anclado,"What does ISO 354 specify, and what requirements apply to the reverberation room?",True,0.5141065830721003,0.2523659305993691,0.35109717868338564,0.0,1.0,1.0
rag,zero-shot,"What does ISO 354 specify, and what requirements apply to the reverberation room?",True,0.4471544715447155,0.13114754098360654,0.2764227642276423,0.0,1.0,1.0
rag,few-shot,"What does ISO 354 specify, and what requirements apply to the reverberation room?",True,0.37569060773480667,0.2122905027932961,0.287292817679558,0.0,1.0,1.0
rag,chain-of-thought,"What does ISO 354 specify, and what requirements apply to the reverberation room?",True,0.30120481927710846,0.15853658536585366,0.25301204819277107,0.0,1.0,1.0
rag,rag-anclado,Which noise descriptor does ISO 1996-3 prefer for specifying noise limits?,True,0.4942528735632184,0.23255813953488372,0.28735632183908044,1.0,1.0,1.0
rag,zero-shot,Which noise descriptor does ISO 1996-3 prefer for specifying noise limits?,True,0.4601769911504425,0.3063063063063063,0.33628318584070793,1.0,1.0,1.0
rag,few-shot,Which noise descriptor does ISO 1996-3 prefer for specifying noise limits?,True,0.40776699029126207,0.3366336633663366,0.3883495145631068,1.0,1.0,1.0
rag,chain-of-thought,Which noise descriptor does ISO 1996-3 prefer for specifying noise limits?,True,0.411764705882353,0.33999999999999997,0.392156862745098,1.0,1.0,1.0
rag,rag-anclado,"What does ISO 16283-2 specify, and which impact sources does it describe?",True,0.6363636363636364,0.368421052631579,0.5194805194805195,1.0,1.0,1.0
rag,zero-shot,"What does ISO 16283-2 specify, and which impact sources does it describe?",True,0.6490066225165563,0.348993288590604,0.5298013245033113,1.0,1.0,1.0
rag,few-shot,"What does ISO 16283-2 specify, and which impact sources does it describe?",True,0.578125,0.33333333333333337,0.453125,1.0,1.0,1.0
rag,chain-of-thought,"What does ISO 16283-2 specify, and which impact sources does it describe?",True,0.7529411764705883,0.5,0.6941176470588236,1.0,1.0,1.0
rag,rag-anclado,What does ISO 3382-1 say about deriving decay curves from non-continuous excitation?,True,0.40375586854460094,0.18957345971563982,0.24413145539906103,1.0,1.0,1.0
rag,zero-shot,What does ISO 3382-1 say about deriving decay curves from non-continuous excitation?,True,0.6779661016949151,0.44571428571428573,0.5649717514124294,1.0,1.0,1.0
rag,few-shot,What does ISO 3382-1 say about deriving decay curves from non-continuous excitation?,True,0.21359223300970873,0.039603960396039604,0.13592233009708737,1.0,1.0,1.0
rag,chain-of-thought,What does ISO 3382-1 say about deriving decay curves from non-continuous excitation?,True,0.0,0.0,0.0,1.0,1.0,1.0
rag,rag-anclado,What are the stated limitations of the ISO 4869-3 method?,True,0.5714285714285715,0.30534351145038163,0.4812030075187971,1.0,1.0,1.0
rag,zero-shot,What are the stated limitations of the ISO 4869-3 method?,True,0.593939393939394,0.3067484662576687,0.4363636363636364,1.0,1.0,1.0
rag,few-shot,What are the stated limitations of the ISO 4869-3 method?,True,0.24299065420560748,0.03809523809523809,0.11214953271028036,1.0,1.0,1.0
rag,chain-of-thought,What are the stated limitations of the ISO 4869-3 method?,True,0.5891472868217055,0.3307086614173228,0.5116279069767442,1.0,1.0,1.0
rag,rag-anclado,What instrumentation does ISO 1996-2 require for environmental noise measurements?,True,0.192,0.016260162601626018,0.112,0.0,0.0,0.0
